# Supplementary geological attributes as rock type percentages based on the map of main lithologies across Switzerland (Swiss Geological Map by Swisstopo) and the map of molasse layers on the Swiss plateau (GeoMol by Swisstopo)
gauge_id,osm,omm,usm,api,amk,sus,dup,sal,oos,mpk,aap,fju,hes,mps,ups,ops,tie,ukd,uod,ood,qua
2263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.77,77.16,0.07
2265,0.0,0.0,0.0,0.0,0.0,0.0,4.43,0.0,2.14,0.0,0.0,0.0,0.0,3.14,1.52,0.0,0.0,0.0,28.15,59.67,0.95
2268,0.0,0.0,0.0,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2269,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
2276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2282,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2283,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2288,23.34,2.46,7.93,4.04,4.32,2.71,0.0,0.0,2.51,2.01,1.44,0.0,5.75,2.26,13.66,0.0,0.22,1.32,1.92,14.59,9.54
2289,17.63,8.59,12.6,6.35,1.84,2.59,0.0,0.0,1.32,0.67,7.55,7.75,9.1,2.85,5.72,1.39,0.07,0.44,0.64,4.84,8.04
2290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2299,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2300,0.0,0.0,0.0,0.0,0.0,23.11,0.0,0.0,2.89,0.0,0.0,0.0,57.0,0.31,0.0,15.27,0.0,0.0,0.0,1.42,0.0
2303,31.5,7.17,40.15,0.0,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,17.1,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0
2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2305,42.29,47.93,9.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2308,14.82,14.91,70.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2309,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2312,99.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23
2319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2342,0.0,0.0,0.0,0.0,36.22,0.0,0.0,0.0,0.0,32.78,0.0,0.0,0.0,6.69,22.53,0.0,0.0,0.0,0.0,0.0,1.78
2343,53.6,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2346,0.0,0.0,0.0,51.82,40.78,0.0,0.0,0.0,0.0,2.81,0.0,0.0,0.0,0.58,3.5,0.0,0.0,0.0,0.0,0.0,0.51
2347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.11,74.53,0.0,0.36,0.0
